n 102
m 1
tmax 11
5.83	5.83	0
2.50	5.00	26
9.17	0.83	29
5.17	8.67	27
10.00	2.00	31
1.33	9.33	27
2.17	8.67	36
1.00	11.33	30
3.50	4.00	28
9.33	6.50	36
9.17	9.00	26
2.67	3.67	41
0.67	3.00	35
4.67	3.00	26
4.33	4.50	27
9.17	7.50	13
9.17	3.33	19
9.17	10.00	16
5.00	10.00	16
3.33	10.83	12
8.33	5.83	19
5.00	4.17	23
2.50	1.67	20
1.67	3.33	19
3.33	6.67	12
2.50	10.00	17
7.50	3.33	11
7.50	1.67	18
7.50	5.00	17
5.83	6.67	16
6.83	6.17	16
6.67	10.00	21
5.83	11.50	23
8.83	8.67	11
10.83	9.17	14
0.83	0.83	16
1.83	2.33	18
1.00	6.33	16
7.83	7.83	13
6.17	5.17	14
9.50	4.83	18
6.00	4.33	18
2.00	4.00	13
4.00	9.67	19
10.33	12.83	20
8.17	12.17	25
11.17	0.83	25
9.50	11.33	15
7.83	2.67	25
8.17	1.83	18
8.17	7.00	13
8.83	7.17	14
9.50	8.00	23
2.50	7.83	16
2.33	6.17	11
4.33	5.83	15
3.00	4.00	22
4.17	4.00	20
3.67	4.50	11
4.17	3.50	12
3.00	3.00	17
6.83	8.17	10
5.83	2.83	7
4.17	5.00	3
3.33	8.33	5
1.67	7.17	9
5.00	0.83	8
0.83	5.00	2
7.50	10.83	9
10.83	5.83	3
10.83	3.33	6
10.67	7.00	9
10.50	10.83	8
0.33	10.00	5
3.33	3.33	8
6.67	4.17	9
7.00	1.17	5
4.00	2.00	5
3.83	0.50	7
0.33	8.00	1
8.17	9.67	10
4.50	7.17	9
10.50	3.83	2
8.83	2.00	6
5.33	2.00	7
2.83	5.67	3
4.50	11.50	10
2.50	12.83	9
6.17	7.83	6
6.17	9.33	5
7.33	2.83	9
7.67	2.17	8
10.17	8.67	3
9.33	6.17	6
1.83	5.17	7
4.33	8.67	9
5.17	11.17	3
2.50	3.17	1
3.67	3.67	2
3.17	3.50	10
3.33	4.33	9
5.83	5.83	0
