n 100
m 1
tmax 11
9.10	3.16	0
7.76	14.02	7
4.50	14.01	5
8.47	1.05	24
4.32	9.93	3
9.22	14.97	23
1.97	5.39	3
7.39	3.81	26
1.21	12.53	24
9.21	5.94	16
7.46	8.62	21
3.57	0.24	6
6.72	12.38	17
8.77	14.72	27
8.36	4.75	27
6.19	13.33	1
12.85	3.17	6
5.81	12.00	27
5.12	1.51	23
1.77	13.08	18
8.93	9.68	13
1.89	3.92	1
7.10	9.82	13
7.94	2.77	21
0.66	9.66	23
10.25	12.67	16
8.38	9.92	8
13.75	8.83	24
9.71	10.34	15
10.25	7.02	24
10.45	3.84	8
1.38	12.70	5
8.05	9.87	3
0.22	0.56	9
6.79	4.71	11
0.15	4.58	7
0.23	11.68	10
11.35	11.57	13
9.56	10.10	13
3.50	10.72	8
14.44	0.43	24
9.80	1.06	14
11.39	7.71	27
6.76	4.03	1
0.26	5.53	5
2.16	11.56	20
9.84	12.81	5
8.16	1.87	3
3.57	12.95	13
0.52	6.74	6
8.73	1.28	28
11.75	8.88	5
5.98	7.58	17
11.43	7.43	2
14.24	3.04	23
3.26	9.71	17
13.43	12.91	6
10.74	5.15	21
14.54	1.31	18
11.27	9.13	14
2.23	3.93	7
10.81	11.58	4
3.41	10.55	13
3.24	1.23	25
13.35	1.72	27
3.52	14.06	1
10.15	1.93	2
8.51	6.17	17
0.10	12.40	3
6.99	9.25	4
0.94	1.67	13
7.13	11.92	1
13.61	5.99	16
11.03	3.87	10
1.54	10.52	13
6.33	13.01	3
1.85	7.17	21
13.47	6.53	24
0.79	9.92	19
9.51	7.18	13
7.12	9.40	19
10.25	6.80	8
1.65	8.93	1
14.36	10.46	29
3.75	3.30	24
6.10	8.06	1
8.76	0.49	10
5.18	3.09	11
6.81	10.56	17
0.13	7.19	13
6.29	13.32	16
10.79	12.04	2
7.25	0.15	22
12.80	11.46	2
5.46	2.07	8
13.33	10.02	28
9.32	2.15	24
3.65	8.14	12
2.17	4.76	5
1.19	9.13	0
